,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
197,La Habra,62416,140,0,20,41,79,1122,188,789,145,0,Orange,28562319.1015625,27108.1499262557,d42b6fd3-4fda-4693-b924-5e5601e7a3dd
198,La Habra Heights,5357,4,0,0,1,3,79,29,45,5,1,Los Angeles,23237655.734375,25717.6686676661,bb19b394-663d-42ae-a3b8-80f3ff3af695
199,Lake Elsinore,70262,173,3,3,43,124,2005,233,1409,363,4,Riverside,163036845.300781,113953.132113739,4b5c3acc-35a7-436b-b21a-3d7fb7780b44
200,Lake Forest,86691,66,1,7,14,44,684,108,503,73,2,Orange,62917505.2226563,39881.6113500689,f3d6a46c-88ab-469b-88cb-43f056c2d669
201,Lakeport,4959,34,0,3,7,24,160,29,110,21,0,Lake,13401014.625,27465.1796103422,82dc67ea-7968-4c75-9e80-746dc198962f
202,Lakewood,80151,222,0,20,104,98,1846,303,1354,189,3,Los Angeles,35596072.2773438,45731.4557849786,fba23d2f-839f-4a3a-8ff7-122139ba1c33
203,La Mesa,59865,174,1,22,76,75,1000,138,715,147,2,San Diego,33194719.7226563,49608.2921700486,ecd9bfb8-a2c8-4a39-bdff-0615f4fad87f
204,La Mirada,48702,86,0,6,28,52,701,145,463,93,3,Los Angeles,29566087.3554688,29339.4137717257,0d4cbff8-fcef-47e2-b9be-1c631685efa6
205,Lancaster,159335,1359,7,114,374,864,3346,792,1916,638,49,Los Angeles,362603669.148438,252267.671355132,28879432-47b4-421e-af4b-c4e539740429
206,La Palma,15571,17,0,1,7,9,302,41,242,19,1,Orange,6802322.7734375,16510.7904487942,ac4126ee-56eb-49e5-b426-9b5d17d9bd06
207,La Puente,39916,151,3,6,53,89,449,75,248,126,5,Los Angeles,13139034.4101563,31989.298196675,3cc86b6c-53b1-4656-8ea6-d74e781026bf
208,La Quinta,42044,68,5,5,17,41,1032,158,809,65,1,Riverside,133849046.148438,74293.2293567278,c0d9128e-8602-49f0-97b8-d408a2bbbbef
209,La Verne,32344,51,1,6,13,31,627,133,447,47,2,Los Angeles,32257082.15625,42546.1443352521,dc8e1376-b6e1-46a7-9e96-bad361a89613
210,Lawndale,32751,125,1,6,40,78,411,83,228,100,4,Los Angeles,7442780.76953125,13589.2994598606,56c33b8d-01cc-4311-aaa6-e7eeedafdf9b
211,Lemon Grove,27175,167,2,4,54,107,552,67,365,120,1,San Diego,14357877.015625,23548.0342435934,34891cae-eee5-439e-bd4e-f6b87271b6eb
212,Lemoore,26728,126,1,17,14,94,372,71,264,37,6,Kings,35652611.3945313,39733.582169103,4e8e0a7b-46f0-4678-9f53-46d842721eb9
213,Lincoln,48625,32,0,4,4,24,468,78,351,39,2,Placer,101593332.101563,65465.9506515907,db225263-f576-47b9-9c1f-5e7ef37c9dd8
214,Lindsay,13708,69,0,5,13,51,250,48,119,83,8,Tulare,10821316.0585938,24491.6118849095,37018578-0aa2-4f86-9ccf-a943cd2588d7
215,Livermore,91418,193,2,30,39,122,1554,139,1279,136,4,Alameda,110291983.125,104569.913042047,5953d428-30f5-4db6-addd-788b33dd6d62
216,Livingston,14607,40,0,1,11,28,315,85,164,66,0,Merced,15185179.4570313,28543.0067278259,9d08a496-0c9a-4b0e-93a1-a7e89467e7ac
217,Lodi,67612,237,3,16,88,130,1658,358,1016,284,15,San Joaquin,58646344.7617188,62878.7883997064,3e9686da-fb56-4042-9cef-445443f40af9
218,Loma Linda,24512,77,0,7,17,53,559,125,336,98,5,San Bernardino,32998243.2578125,29108.8781077374,ea48945c-1f20-46f0-9ca1-66f168ba702e
219,Lomita,20553,67,0,4,26,37,254,53,161,40,2,Los Angeles,7217657.109375,16515.6223712432,65b74735-169c-49da-8e6a-ac6a764fae31
220,Lompoc,42818,291,7,29,32,223,1057,238,583,236,18,Santa Barbara,44921248.1953125,48729.2242162601,af810fa7-c6f5-4d9b-9237-c8ef431948a1
221,Long Beach,467974,2369,34,249,958,1128,11297,2185,6754,2358,153,Los Angeles,195374788.878906,120342.436796653,37da0940-b901-43e2-9081-01324c08eb66
222,Los Alamitos,11541,6,0,1,3,2,130,41,73,16,1,Orange,15409187.5507813,25658.7853177052,615b105f-2681-4fba-b8dc-4241febfb8bd
223,Los Altos,30716,21,0,3,4,14,310,107,181,22,3,Santa Clara,26806472.2070313,42741.9636341469,2d9ad820-b5aa-45eb-99c4-afe08c89bb4b
224,Los Altos Hills,8622,3,0,1,0,2,67,29,38,0,0,Santa Clara,37228036.171875,44258.5725939138,c3f915c8-221c-47fd-a5d9-e20a104901bd
225,Los Angeles,4015546,29400,258,2274,9652,17216,95704,13809,66253,15642,1672,Los Angeles,1783699495.15625,596444.919468046,44ec38ce-cd51-4f14-ae4e-aef55d285bfe
226,Los Banos,40607,143,2,12,36,93,886,231,506,149,5,Merced,43298500.4570313,57222.7067406855,4ea081dd-0161-4721-ae73-22fe5e5f14c8
227,Los Gatos,30793,14,0,2,6,6,419,57,332,30,0,Santa Clara,47689984.6171875,92916.2099173324,234e9799-1c9d-4a40-a371-e34b86c32bff
228,Lynwood,70619,454,1,21,218,214,1419,189,723,507,14,Los Angeles,18294345.6601563,26554.264533099,4a1f3820-5bdd-4c05-942a-f6345857b6c9
229,Madera,66250,334,2,32,77,223,1301,235,824,242,10,Madera,67723732.9609375,72605.2110377074,7f76bdbe-f036-40d6-8eed-d64564068b7f
230,Malibu,12794,44,1,5,16,22,416,86,311,19,3,Los Angeles,73975531.421875,92982.981661479,f5b00992-f56c-43ca-94dc-6a8f8aa7d933
231,Mammoth Lakes,8114,42,0,15,1,26,131,17,105,9,2,Mono,104102584.164063,58077.39859624,ecbae51f-4473-4c25-9d15-ee04a0c663be
232,Manhattan Beach,35583,55,0,5,33,17,851,160,648,43,1,Los Angeles,14926378.46875,17595.2238846574,9ae46d58-9b66-42c2-9e37-8b12cb4c6681
233,Manteca,83523,199,3,27,66,103,1848,239,1327,282,18,San Joaquin,89300733.7734375,87492.4815097322,4cf5f208-1839-4213-b26f-4fa6508528b4
234,Marina,22911,43,0,6,10,27,361,67,242,52,1,Monterey,35446986.8398438,38422.8669723451,52a2d3dd-492a-4d63-9d12-d3ff74f70721
235,Martinez,38692,83,0,17,26,40,570,99,386,85,11,Contra Costa,52940579.484375,74620.7855349447,13aacadc-944e-4e51-8deb-501e786d8d50
236,Marysville,12572,116,2,20,23,71,541,81,324,136,9,Yuba,15713109.28125,26996.4854507575,6ba0368d-bcb5-4693-9eb5-e8259c346860
237,Maywood,27286,90,2,7,23,58,296,60,143,93,3,Los Angeles,4438563.49609375,11065.7834962406,d2f9e866-c697-4a62-8cb3-4093cce23c94
238,McFarland,15529,67,3,14,9,41,163,52,53,58,21,Kern,11851694.0273438,31411.9445039601,3d5f545d-59ec-4110-ad92-e21b79804213
239,Mendota,11433,83,1,4,4,74,155,45,50,60,1,Fresno,13475055.6953125,34555.5949192477,2379517b-cc39-44a1-8227-12651a1d2e30
240,Menifee,94595,145,2,4,47,92,1892,269,1273,350,0,Riverside,174635870.039063,83343.6694492775,ff111094-75c0-425b-bf44-fbad15a435e2
241,Menlo Park,34871,50,0,16,13,21,774,110,633,31,0,San Mateo,41852669.8476563,69961.0856747928,171f896b-3456-4a5b-8247-6574c4ea58f6
242,Merced,83854,540,5,34,103,398,2342,396,1439,507,70,Merced,95885024.0976563,133704.71088363,d46d7710-4518-4a7a-a556-63aeb2565458
243,Mill Valley,14343,20,0,1,9,10,223,36,177,10,1,Marin,20078173.3867188,35589.9807841193,04eb633e-6d65-4302-b9f5-b69ec8670b37
244,Milpitas,82344,102,2,15,48,37,2193,201,1791,201,2,Santa Clara,55691336.8085938,60850.4116832612,1967f95f-49a6-41fe-b643-e0c5da526fb7
245,Mission Viejo,95453,65,1,8,22,34,866,121,689,56,5,Orange,67400724.9179688,47273.0543881292,061b1c25-3937-465d-908a-28dbdda3a9a8
246,Modesto,216542,1758,13,94,399,1252,7183,1149,4849,1185,95,Stanislaus,185629914.371094,200787.278234542,0ad84b7b-1b9a-4413-a4a2-b1fd6c6a913f
247,Monrovia,36730,43,1,9,16,17,845,87,686,72,10,Los Angeles,52129580.9765625,53149.2903470201,375beacb-1a69-4b88-8586-8d1cd424be10
248,Montague,1399,8,0,1,0,7,32,15,13,4,0,Siskiyou,8089220.23046875,16687.0001834397,6ed54f4d-0897-4804-b7f2-da2b9cab3a8e
249,Montclair,39787,234,2,35,70,127,1469,355,868,246,24,San Bernardino,21030149.1796875,23083.9476568883,734c62e5-f1d9-4fbf-91f5-b44c34f2180a
250,Montebello,62650,178,0,11,90,77,1448,480,580,388,81,Los Angeles,31602688.2304688,36783.7997541433,9180b570-ec79-48c7-849f-de803385000d
251,Monterey,28337,78,0,11,23,44,975,127,774,74,4,Monterey,33754032.4375,62534.6719586823,707d0180-dcb2-45c6-9b52-ffb6a310f801
252,Monterey Park,60424,126,0,7,59,60,1355,267,929,159,0,Los Angeles,29283299.4570313,29326.9281861026,f77f8b88-b210-42bb-ad79-6e35cea176b6
253,Monte Sereno,3507,0,0,0,0,0,12,2,9,1,0,Santa Clara,6641003.8671875,25308.2288234222,02b6e4b2-a5ca-48b3-a5fa-720173e60aa8
254,Moorpark,36826,26,0,7,7,12,228,34,183,11,0,Ventura,47443273.5585938,42232.073832857,841bd400-c189-433a-8059-5eded8f06514
255,Moraga,17908,23,0,1,3,19,124,36,79,9,3,Contra Costa,39419995.625,39240.7394193598,4176e25e-0d84-44ba-a6a0-77f74df0bdd1
256,Moreno Valley,210979,847,15,19,290,523,5534,966,3489,1079,9,Riverside,194325185.410156,94349.3756158182,e6e70e14-ae43-4008-bd5e-9acd959db85c
257,Morgan Hill,46118,52,2,3,14,33,703,102,507,94,0,Santa Clara,52684187.625,107865.185672825,b7259c9b-5971-4966-8fa7-01606af16149
258,Morro Bay,10624,21,0,1,3,17,127,15,102,10,0,San Luis Obispo,23663789.9296875,34075.0778035956,15887f9f-9e3f-4b0e-be8c-a63216c138ae
259,Mountain View,84599,165,0,20,49,96,2463,321,2030,112,6,Santa Clara,49802185.8867188,55031.9963453227,40d867f7-9681-4ec3-8170-f0a856d11aab
260,Mount Shasta,3274,12,1,0,2,9,35,5,24,6,0,Siskiyou,16632746.3632813,35894.2412463429,79ed1955-0d0c-4c94-8861-e67879d9ae98
261,Murrieta,116413,77,3,19,26,29,1512,206,1080,226,4,Riverside,125624122.730469,69379.4001279211,48a0e2da-00d0-41dc-9b3f-3fa3083094fb
262,Napa,79526,280,1,66,55,158,1232,248,847,137,46,Napa,77254315.6640625,129503.778061575,cb747d58-3314-488e-a985-5904060201bc
263,National City,61791,364,0,26,130,208,1123,114,735,274,5,San Diego,34048338.6171875,65504.2692005885,8a3be6d0-c207-476f-adb8-579adf835e40
264,Needles,5001,71,1,4,6,60,174,66,97,11,10,San Bernardino,120051685.738281,65594.8817845209,790e51fa-851d-4bfc-972e-af957a2be57f
265,Nevada City,3150,15,0,4,1,10,89,26,49,14,1,Nevada,10164505.3710938,26120.7803190496,2d534d36-2c89-4846-adf2-782bcbe22521
266,Newark,48945,85,0,13,40,32,1399,187,1090,122,6,Alameda,57958722.8203125,38337.6994856263,b58983fe-0a2d-4b91-aaba-7e14d7e49ab2
267,Newman,11844,16,0,2,3,11,113,25,68,20,1,Stanislaus,9151114.15625,23302.3138792738,3d9cbbc4-a0e8-4824-bd31-23223da0e89f
268,Newport Beach,85325,135,5,29,32,69,1764,273,1344,147,7,Orange,96841480.0390625,74625.3428956202,78e7dcd6-0aca-4b8e-bcad-0f5884ea35df
269,Norco,26557,49,0,3,14,32,669,136,434,99,0,Riverside,52726840.3984375,44775.1228194936,6f1c0b00-2715-4f6c-919b-75866e69996e
270,Norwalk,105067,432,5,21,138,268,1571,343,922,306,18,Los Angeles,36808130.2851563,33681.1472121842,d738943c-2fd0-4f6e-9b55-b8dc8e19eaf3
271,Novato,56134,148,0,6,26,116,890,102,711,77,3,Marin,116161736.878906,114776.014026665,2f0783f9-faf5-481d-8688-5196ba4ce8fa
272,Oakdale,23808,40,1,5,9,25,531,99,342,90,0,Stanislaus,25993337.3203125,44432.5248425741,ecda4497-08bb-4300-9509-ffdd7d6b13ab
273,Oakland,434036,5520,78,372,2859,2211,27868,2599,20228,5041,207,Alameda,234498887.753906,151709.030330658,f7168a0b-fcec-44bd-a043-a2719477a688
274,Oakley,43014,51,0,7,17,27,497,74,336,87,3,Contra Costa,67623872.40625,48766.394827593,e5bb06b8-1528-4e53-bbb9-d9bc39bf5a9d
275,Oceanside,177129,712,4,97,163,448,3736,426,2858,452,23,San Diego,156306446.886719,88470.8786148173,9e423d4b-3359-444b-b4bb-010c5bc2933a
276,Ojai,7499,8,0,5,0,3,74,15,56,3,1,Ventura,16674611.1640625,27349.5567964179,6518a0c2-bc77-45e0-89d8-1e9158d0da4e
277,Ontario,183322,659,10,85,223,341,4290,710,2652,928,31,San Bernardino,188782789.339844,65548.4801123092,3c71896c-447f-4065-80b5-899d61ad858f
278,Orange,139830,180,3,18,76,83,2184,387,1546,251,7,Orange,97108748.2734375,125491.478696717,7e0caf2e-0218-4af9-b419-31ef4b4edfe0
279,Orange Cove,9635,18,0,0,2,16,61,12,38,11,0,Fresno,7307082.8203125,17047.998553581,0799045d-05c2-4dc9-9cb9-621cab63d944
280,Orinda,20071,17,5,2,7,3,195,52,125,18,0,Contra Costa,53560363.1835938,48145.8364134262,e553e63e-3c81-4afc-8748-dd3c7c3b956d
281,Orland,7679,33,0,4,8,21,134,23,86,25,0,Glenn,13208664.6601563,26207.6976093362,e9ec2da1-2708-4692-8218-035249863b9d
282,Oroville,19268,122,2,24,30,66,822,176,435,211,19,Butte,60863715.7890625,92788.2091153017,c7dc2e70-691d-4a12-84eb-ed15cf4b28dd
283,Oxnard,211349,724,13,62,275,374,4242,670,2987,585,48,Ventura,103342465.460938,119737.081398653,ed3eb1de-6489-4499-93db-74b5e6d57615
284,Pacifica,38938,79,1,22,14,42,533,81,408,44,2,San Mateo,51327798.7148438,50244.9730161096,dfbd888c-00f3-46d9-ba96-20057d45e27a
285,Pacific Grove,15605,14,0,1,1,12,169,27,136,6,0,Monterey,11568089.078125,24160.3206710167,fe1c9c1d-0235-46fb-80e1-5fa05b8725c6
286,Palmdale,157138,658,8,55,194,401,2230,447,1384,399,17,Los Angeles,407166454.390625,252670.916212207,7f3a659a-c896-4a8b-9a02-c5508f15e3c7
287,Palm Desert,53776,136,3,7,24,102,1848,338,1382,128,6,Riverside,101242338.933594,75849.3998820899,6a59185f-5261-4131-a53a-27797b5be067
288,Palm Springs,48846,267,7,38,66,156,1966,502,1210,254,4,Riverside,355393408.011719,176668.781196456,81826d6e-9d1d-41f6-ad1d-a1604ed38468
289,Palo Alto,66938,86,1,10,46,29,1983,179,1722,82,8,Santa Clara,99492988.1367188,116664.57201978,be227d57-337d-46da-9422-3f3972d53121
290,Palos Verdes Estates,13400,4,0,0,1,3,88,36,49,3,0,Los Angeles,17963838.265625,26368.0304596918,e6d45a70-a087-45d0-8522-54806611a88d
291,Paradise,26879,22,0,5,1,16,202,83,51,68,1,Butte,79149910.4101563,41387.3558466656,523f4a00-d109-445d-800f-d1f03c6318ca
292,Paramount,54422,347,4,16,151,176,1246,187,775,284,6,Los Angeles,18182373.1953125,24979.9724426193,e58b6525-3ba2-4056-88a1-a0b151b20a0c
293,Parlier,15384,62,0,2,9,51,179,24,106,49,7,Fresno,9710166.62109375,27290.2361682818,71baa17b-7a01-417a-ac81-7b279a290e6f
294,Pasadena,141913,613,4,46,147,416,2866,570,2036,260,34,Los Angeles,87596897.8554688,104400.601221918,b86ee059-977f-4784-8203-fb670852945b
295,Paso Robles,32528,53,0,9,13,31,646,78,523,45,3,San Luis Obispo,78443161.2539063,78994.6132069921,bfa879ff-fe62-4530-82fd-c7d8454f086d
296,Patterson,22584,46,0,6,14,26,434,81,249,104,3,Stanislaus,32954916.0,47779.2368168945,abf505de-3bbe-4139-bfb4-8baa9b0f6e78
297,Perris,80500,262,4,6,97,155,2071,268,1248,555,5,Riverside,119259946.980469,85799.1294523827,4c88752a-ae1b-444a-ae9d-1817ba47404a
298,Petaluma,62425,190,3,22,28,137,789,109,626,54,9,Sonoma,61200535.1953125,67127.9002831159,819adba8-2bdd-4f62-a1a4-f520cafb7639
299,Pico Rivera,62880,234,3,16,67,148,1052,198,581,273,11,Los Angeles,33631078.1953125,35140.8539442078,a7f09faa-e3e2-4026-9c06-67d176d9c559
300,Piedmont,11307,14,0,3,5,6,227,46,162,19,1,Alameda,7100715.34375,11464.9088245272,119a429a-ea28-4d59-8c15-d3783f4cee40
301,Pinole,19439,59,0,2,17,40,866,77,726,63,0,Contra Costa,21390538.734375,34441.4231522048,4a8b6b08-24d8-4949-ab20-38f74cf774b5
302,Pismo Beach,8285,29,0,0,6,23,341,89,236,16,1,San Luis Obispo,13553479.7851563,40020.2736968292,3c268928-da36-44e3-8b4a-febf8ea41d1b
303,Pittsburg,73637,446,7,41,157,241,1660,256,983,421,19,Contra Costa,69615666.515625,71485.9225400739,b5092a10-a09e-422a-8155-4f8e2df0d1a7
304,Placentia,51756,192,0,13,28,151,889,275,511,103,0,Orange,25003669.2734375,45557.7866030387,275f7bec-9e28-4581-870b-08d4a6f891e5
305,Placerville,11123,39,0,2,6,31,281,67,164,50,0,El Dorado,24882613.7382813,56039.5180042872,b614eb58-28a0-4324-b7bd-ecc9542f4326
306,Pleasant Hill,35125,88,0,11,41,36,1484,112,1276,96,6,Contra Costa,29528939.7851563,41249.6220295386,b8041a97-2fd4-4dc4-a845-d7b9cd79ede0
307,Pleasanton,84017,112,0,12,56,44,1632,149,1386,97,4,Alameda,100556714.109375,99485.8340601922,14f304e3-1bf5-455a-acb7-c5e03b230322
308,Pomona,152776,940,12,101,342,485,4208,816,2529,863,15,Los Angeles,86949260.7773438,60093.8122298215,b5a13b13-4dda-45b7-9cde-2c5b732431e7
309,Porterville,60209,192,2,7,47,136,1297,213,835,249,3,Tulare,73626040.7109375,134964.502539811,e924c1d7-3726-492e-8a77-a137229e6659
