,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
361,Santa Barbara,91717,400,2,72,82,244,2118,254,1686,178,15,Santa Barbara,74577754.59375,98848.9057625582,ab4ec48d-c731-403c-af66-3d09a3d70562
362,Santa Clara,131173,214,0,35,73,106,4748,363,4013,372,18,Santa Clara,74710485.40625,58831.0412529146,57b4dec7-8124-416c-955b-35129a1c1eec
363,Santa Clarita,218103,277,2,49,89,137,2059,392,1448,219,17,Los Angeles,270381322.203125,134970.730700177,af9adfa2-1e05-4997-9ce4-b8886ca93bc3
364,Santa Cruz,65263,389,0,29,88,272,2932,348,2363,221,34,Santa Cruz,51660946.6367188,61502.4664412579,3b30207f-5ac1-46d9-a38d-b7b1bbb13ece
365,Santa Fe Springs,18041,105,2,10,42,51,1035,205,654,176,6,Los Angeles,33436576.4023438,57872.9378690473,2b27542f-0442-4d49-a11e-2d380e29f83f
366,Santa Monica,91621,664,3,40,247,374,3964,577,3143,244,19,Los Angeles,32088268.546875,24259.2892449961,eb8248a9-59a9-4c93-8435-1f39fdae2fc9
367,Santa Paula,30098,91,2,6,21,62,404,103,272,29,3,Ventura,21768873.8554688,32901.0264262498,c4f1aef1-647f-4752-930b-4121b511a8a4
368,Santa Rosa,177884,857,3,146,126,582,2874,486,2077,311,28,Sonoma,180908962.625,242662.949111027,ff92d210-d3e7-4547-b467-be99ea1441c6
369,Santee,58701,98,0,8,29,61,806,74,659,73,7,San Diego,61484241.375,53802.521581051,b8ac56cb-975e-4ec5-9081-4921bfb5896e
370,Saratoga,30666,16,0,4,2,10,240,104,122,14,5,Santa Clara,52363903.2578125,38809.1089015499,04a8579a-124f-440f-8ea2-ff006c6b6ee2
371,Sausalito,7118,7,0,0,1,6,258,21,224,13,0,Marin,7073235.08984375,16234.5331496425,335133a8-6b87-4dd2-89e5-c249d95f6518
372,Scotts Valley,11875,13,0,2,1,10,141,31,102,8,2,Santa Cruz,18942579.4375,36359.772339483,cf549888-6953-4522-95e9-3b9f3e9f5e17
373,Seal Beach,24120,19,0,1,10,8,551,62,458,31,0,Orange,44410775.3125,35829.3542516322,a23313b8-d3bd-4c47-b9d8-e80e65d47d62
374,Seaside,34036,78,3,11,12,52,439,44,329,66,5,Monterey,37576691.7851563,28291.5600900631,225322ca-aa6d-4e69-95de-6a969cea1e46
375,Sebastopol,7815,21,0,3,7,11,177,51,110,16,2,Sonoma,7963427.453125,24751.2424303691,c1020509-ed2b-46dc-8a3e-8ef0d2e72056
